COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13
SINGAPORE,11.71,15.27,15.87,22.56,35.55,38.74,36.57,40.27,32.47,36.88,34.45,35.84,41.14,40.53,45.83,47.72,42.28,45.19,50.96,47.24,42.10,52.25,60.29,61.46,67.51
SLOVAKIA,17.20,20.72,17.54,24.00,24.40,22.73,23.24,26.08,23.09,26.30,21.33,22.23,17.39,24.52,30.18,36.09,33.77,35.42,40.14,39.10,48.42,45.69,48.81,59.11,57.45
SLOVENIA,12.26,14.78,13.21,15.39,20.04,21.62,22.77,22.16,21.92,25.52,26.29,22.55,19.06,24.06,23.04,33.56,32.11,30.89,36.51,32.29,36.22,37.89,41.79,46.42,48.45
SOUTH AFRICA,2.50,2.40,2.51,0.86,2.02,2.11,1.99,1.31,0.85,2.57,1.95,1.56,3.07,3.45,3.64,3.85,4.90,3.95,6.85,6.90,8.76,7.97,7.81,7.73,7.69
SOUTH KOREA,75.16,79.28,70.81,81.71,67.42,77.28,59.51,77.31,81.02,78.20,72.55,76.47,73.23,53.22,58.39,65.28,84.25,85.44,85.53,83.63,86.40,86.00,75.02,85.37,92.76
SPAIN,4.93,4.43,4.60,7.10,9.05,7.15,9.22,9.91,7.67,14.99,9.33,12.41,11.47,15.76,22.24,33.35,33.17,33.67,44.26,42.89,45.53,47.74,50.07,64.17,70.72
SRI LANKA,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.22,0.18,1.68,0.97,0.89,1.10,0.79,0.65,0.79,0.56,0.42,1.37,1.49,1.65,1.69,1.67,5.47,8.02
SWEDEN,43.84,42.12,40.03,44.33,51.39,55.05,58.11,53.32,53.69,55.06,53.81,46.86,39.68,39.96,39.08,39.68,40.92,43.28,48.13,44.41,49.79,51.41,59.31,60.53,63.82
SWITZERLAND,44.91,42.79,37.49,48.09,56.32,58.36,64.56,44.84,41.23,49.93,49.62,42.72,43.24,52.19,59.81,69.71,69.99,69.45,77.35,79.14,80.90,81.91,88.20,90.20,89.63
SYRIA,3.11,3.32,4.13,3.97,2.98,2.67,3.42,3.33,0.24,17.18,28.02,16.27,9.01,12.78,6.92,4.04,4.21,2.25,4.75,4.61,2.89,2.93,2.50,0.71,1.59
TAIWAN,12.49,12.62,11.10,13.63,19.71,20.39,32.06,30.46,29.03,38.10,32.76,35.75,41.50,42.45,38.33,40.66,40.10,35.64,36.05,31.73,37.49,30.46,29.04,49.56,60.69
THAILAND,1.45,1.10,0.83,1.08,2.31,3.19,4.07,5.54,5.87,5.14,6.24,6.55,8.51,11.25,13.63,22.58,28.37,18.63,23.27,17.43,17.07,25.90,44.50,51.44,54.32
TRINIDAD AND TOBAGO,0.52,0.14,0.55,0.15,0.25,0.22,1.02,1.37,0.31,0.85,0.38,0.60,3.81,6.16,7.71,11.94,10.20,9.09,25.67,23.77,27.13,28.20,28.93,33.90,40.42
TUNISIA,11.71,50.28,22.92,41.82,29.97,29.12,9.52,2.94,4.23,6.31,5.06,4.12,8.10,7.81,0.55,1.05,1.63,0.78,0.66,0.89,0.88,0.82,0.85,1.06,1.55
TURKEY,0.76,0.75,1.31,1.26,1.46,1.15,1.09,1.21,1.34,1.88,1.61,1.96,2.20,2.17,5.00,7.19,10.74,8.51,11.58,7.96,7.99,8.42,16.76,27.56,34.54
U.S. - ALABAMA,23.60,24.46,30.65,35.45,37.80,38.56,39.60,31.76,31.24,39.05,36.91,37.76,42.13,44.40,44.74,48.52,50.59,49.75,57.61,59.12,61.01,60.90,62.56,67.48,71.27
U.S. - ALASKA,9.85,6.48,6.92,7.00,7.85,8.99,10.98,11.99,15.71,18.74,24.65,28.56,32.78,31.94,36.34,38.63,41.81,39.22,45.73,48.44,50.71,50.13,52.17,56.72,60.28
U.S. - ARIZONA,34.69,36.21,35.17,36.77,33.09,31.93,41.26,33.26,35.04,38.90,39.96,33.70,38.55,40.32,42.55,49.71,50.85,51.52,57.73,57.54,60.19,60.56,69.58,73.79,77.38
U.S. - ARKANSAS,6.54,6.14,7.21,12.17,15.69,13.04,13.01,9.97,9.39,11.14,14.16,16.03,15.31,16.94,16.87,19.09,20.11,17.94,24.27,30.10,26.31,26.59,31.91,37.43,54.23
U.S. - CALIFORNIA,32.63,35.40,37.43,38.59,41.47,41.04,37.24,35.13,35.73,36.88,45.63,44.02,48.27,50.14,52.76,52.55,56.56,56.52,59.89,61.54,64.14,64.94,68.36,70.23,75.15
U.S. - COLORADO,22.69,23.74,26.41,27.58,31.21,33.36,33.19,34.09,33.01,32.93,35.17,33.31,40.09,39.77,42.80,49.33,50.77,50.38,57.38,61.44,63.17,63.22,69.37,72.84,78.03
U.S. - CONNECTICUT,49.19,51.08,52.57,54.25,59.11,58.40,56.57,56.34,57.03,57.61,56.54,53.83,55.66,56.06,55.00,58.97,66.10,65.42,70.59,73.56,76.31,76.76,79.88,81.89,83.86
U.S. - DELAWARE,72.46,78.06,79.92,83.82,77.44,81.13,79.75,70.56,77.33,84.91,84.98,83.10,81.95,83.35,86.14,87.57,90.85,90.19,92.32,94.24,84.92,87.16,90.33,92.40,94.18
U.S. - DISTRICT OF COLUMBIA,34.53,36.79,38.30,41.67,45.19,45.67,49.84,49.57,50.29,52.51,52.84,52.18,54.52,57.71,61.18,62.49,62.96,64.64,67.68,69.69,71.14,71.61,76.15,77.05,71.36
U.S. - FLORIDA,26.27,28.87,38.01,41.98,47.13,47.93,45.40,43.77,44.28,46.77,43.55,44.18,48.91,53.90,57.31,58.70,62.08,61.94,66.74,68.53,71.35,71.91,74.44,76.97,80.21
U.S. - GEORGIA,24.53,25.58,27.92,31.63,35.26,35.46,34.98,32.02,33.38,35.01,35.50,35.92,38.66,40.45,43.12,46.24,47.36,47.54,55.29,56.11,59.43,61.39,65.31,69.54,70.94
U.S. - HAWAII,9.67,6.38,7.08,8.21,10.75,11.10,36.99,46.79,49.34,52.57,47.65,48.91,56.47,56.47,52.56,65.01,58.58,48.06,55.05,60.16,61.31,61.16,67.82,71.41,81.37
U.S. - IDAHO,15.12,13.49,13.87,15.36,16.95,16.11,18.75,14.84,17.21,16.80,19.72,18.40,24.60,23.91,22.81,23.50,25.84,27.07,34.03,36.77,39.12,37.47,42.76,49.25,64.95
U.S. - ILLINOIS,33.61,32.39,35.15,34.13,37.76,37.35,36.91,39.56,39.51,42.11,41.30,41.62,43.56,43.57,44.65,49.74,52.25,51.88,56.40,58.34,61.08,62.71,64.61,66.82,71.64
U.S. - INDIANA,39.69,38.66,41.36,39.48,44.67,44.38,42.57,45.50,44.49,48.34,46.89,45.36,48.23,49.06,52.46,52.92,56.57,54.88,61.11,60.96,64.25,64.21,66.57,66.88,71.84
U.S. - IOWA,18.41,17.63,17.15,16.73,20.24,23.20,27.11,27.28,27.36,28.09,29.83,26.77,28.73,30.35,31.66,34.55,35.26,33.37,42.31,44.65,46.61,41.43,46.96,52.23,62.91
U.S. - KANSAS,25.52,26.56,25.24,27.25,29.07,22.30,26.11,27.06,27.37,27.61,27.34,24.32,19.20,12.69,12.58,13.62,17.00,22.35,44.19,44.89,48.18,49.76,51.69,61.06,71.25
U.S. - KENTUCKY,31.48,34.07,33.75,28.53,30.26,29.63,30.64,30.27,30.96,27.97,27.07,27.16,28.91,29.34,30.52,31.90,32.73,29.02,38.32,38.63,37.55,58.84,63.19,70.35,67.87
U.S. - LOUISIANA,21.39,21.64,21.90,24.32,27.26,27.38,27.30,23.76,26.49,28.57,29.88,29.05,30.38,31.42,33.64,35.50,37.02,37.49,42.11,43.48,46.66,47.25,52.26,56.77,67.18
U.S. - MAINE,27.48,27.45,31.13,52.08,57.50,61.15,59.01,54.41,53.16,53.09,44.91,45.55,53.89,59.41,60.90,62.29,58.82,55.31,66.98,67.76,68.93,69.95,73.61,68.12,70.61
U.S. - MARYLAND,46.06,50.11,51.07,54.38,58.06,57.19,55.53,56.38,53.51,57.33,57.00,55.84,56.48,55.98,59.59,63.51,65.23,66.34,71.98,74.91,76.46,78.65,83.97,84.69,86.74
U.S. - MASSACHUSETTS,42.98,44.90,47.15,49.06,56.03,56.38,55.76,54.80,56.24,56.68,57.93,55.77,58.13,59.74,61.05,61.54,66.00,66.62,69.44,71.50,72.43,74.38,78.64,82.50,86.63
U.S. - MICHIGAN,39.18,37.37,39.75,41.94,45.56,46.33,43.18,42.99,40.64,45.57,45.02,44.01,51.18,50.54,52.68,56.90,58.51,58.28,63.68,65.59,67.72,68.98,72.53,74.57,78.82
U.S. - MINNESOTA,23.47,25.94,27.00,24.51,32.51,33.19,31.42,28.60,23.49,32.37,31.24,33.51,40.25,40.47,43.80,46.03,47.32,47.83,52.00,57.28,61.64,62.40,66.71,70.17,74.14
U.S. - MISSISSIPPI,16.98,17.60,20.48,29.48,35.63,34.70,31.45,30.91,28.72,31.68,28.23,26.45,26.58,26.57,29.78,31.94,37.37,39.18,46.90,49.89,49.87,47.97,50.73,52.76,64.66
U.S. - MISSOURI,20.50,17.79,20.07,26.45,30.25,27.44,29.29,29.10,28.29,35.31,33.90,34.24,32.91,35.76,37.00,42.79,44.14,45.69,55.54,55.92,61.39,63.11,66.68,70.79,71.28
U.S. - MONTANA,23.01,24.71,26.79,26.28,27.49,30.03,30.57,31.19,26.83,28.47,29.53,28.93,33.47,36.53,36.73,38.10,38.46,38.42,48.38,48.78,51.01,50.93,52.91,55.87,60.31
U.S. - NEBRASKA,33.73,30.80,31.33,36.85,39.52,40.24,38.18,35.03,36.35,39.14,36.82,35.81,37.63,40.13,42.48,45.18,46.01,45.72,52.50,53.18,57.17,55.88,61.74,67.01,69.76
U.S. - NEVADA,45.57,47.00,46.38,48.02,50.60,51.97,55.81,48.25,49.43,51.31,51.44,51.53,52.17,54.71,55.68,57.54,59.64,57.96,61.94,63.49,63.11,64.18,67.95,70.60,73.24
U.S. - NEW HAMPSHIRE,56.75,58.80,60.83,64.27,74.73,74.14,74.48,72.24,70.22,69.46,71.12,70.48,71.59,71.83,74.29,77.57,81.84,81.98,84.49,86.27,86.80,86.83,90.08,82.78,85.52
U.S. - NEW JERSEY,49.14,51.44,52.30,55.62,57.25,59.19,59.93,57.37,57.33,60.12,59.29,58.43,58.62,59.20,62.18,66.52,68.66,69.35,75.25,76.67,78.72,80.38,85.37,86.68,87.94
U.S. - NEW MEXICO,15.08,19.22,20.31,15.91,21.31,27.38,24.48,24.78,23.58,22.96,23.22,21.64,30.28,30.52,30.26,38.83,39.56,38.82,45.28,54.00,56.10,56.50,59.51,63.81,67.42
U.S. - NEW YORK,44.61,47.65,48.81,54.05,58.27,57.87,59.12,57.73,57.26,57.43,55.65,52.83,56.35,57.35,60.91,65.77,66.40,64.87,71.10,73.53,76.39,77.55,81.46,83.35,85.44
U.S. - NORTH CAROLINA,25.04,36.20,37.05,44.27,48.14,48.33,49.83,44.61,47.14,49.43,46.94,44.39,46.70,50.49,52.33,54.99,58.72,55.22,61.73,64.12,66.30,66.72,69.28,72.79,75.02
U.S. - NORTH DAKOTA,25.09,23.13,23.05,20.54,25.12,24.82,27.41,20.76,27.33,33.63,33.86,27.93,33.47,37.87,39.59,38.49,42.61,43.60,48.27,53.01,54.22,52.99,65.63,67.41,80.64
U.S. - OHIO,28.34,25.01,25.54,35.37,39.35,41.70,36.31,36.91,36.34,38.31,36.92,36.16,37.65,39.37,44.43,46.77,49.46,46.33,55.01,58.63,61.37,61.58,64.77,63.44,59.93
U.S. - OKLAHOMA,46.85,47.91,46.65,47.35,48.40,48.52,50.77,44.57,44.37,45.31,45.46,44.35,45.22,45.82,47.28,49.48,50.87,49.58,53.20,53.90,55.46,56.31,57.70,62.51,65.29
U.S. - OREGON,25.15,25.64,33.15,36.39,38.69,42.58,44.23,42.02,42.34,43.33,44.12,41.21,44.18,44.75,49.32,51.36,54.61,53.87,59.17,61.50,63.77,65.93,70.55,72.54,75.97
U.S. - PENNSYLVANIA,37.30,39.07,40.28,42.64,43.87,45.52,44.73,42.93,43.99,48.23,47.27,46.32,47.62,50.36,54.00,56.02,59.21,60.19,64.47,66.68,68.22,68.60,72.83,75.05,77.12
U.S. - RHODE ISLAND,60.28,60.01,59.53,60.94,63.78,60.74,58.93,56.62,55.85,53.32,57.43,70.07,71.27,76.81,78.60,82.58,81.63,78.04,81.37,82.01,82.64,83.15,85.63,88.74,91.41
U.S. - SOUTH CAROLINA,25.53,31.37,32.88,39.22,42.37,44.55,45.95,44.64,44.89,50.94,49.17,45.59,50.44,54.07,56.60,59.52,61.72,59.75,66.49,68.43,70.10,67.90,71.41,73.14,76.93
U.S. - SOUTH DAKOTA,21.37,21.22,23.15,22.11,36.79,27.43,25.59,23.57,34.37,49.71,46.97,41.54,42.06,45.58,51.99,54.52,58.96,58.81,66.00,65.45,68.93,63.63,72.40,77.23,81.06
U.S. - TENNESSEE,26.77,30.03,35.19,41.84,46.47,46.69,43.47,39.83,35.06,39.50,36.96,38.67,45.39,48.69,52.08,55.77,57.81,58.87,64.06,65.91,69.24,68.73,71.19,73.98,76.36
U.S. - TEXAS,24.25,27.37,28.67,30.89,36.38,36.18,36.98,34.18,34.55,39.00,40.85,41.04,42.94,45.84,47.07,50.09,52.30,48.69,55.93,56.76,61.00,61.84,64.33,68.49,74.73
U.S. - UTAH,28.63,29.84,30.01,28.62,31.20,36.13,34.11,28.64,31.81,31.34,34.83,31.38,39.31,41.69,45.28,46.51,49.84,51.73,57.28,57.48,61.89,66.12,72.63,75.02,79.11
U.S. - VERMONT,54.37,56.31,57.05,60.20,68.77,67.00,66.12,64.29,64.39,64.87,65.41,64.56,65.80,67.28,66.49,70.92,76.05,76.47,80.41,82.55,83.20,81.70,85.15,62.67,64.60
U.S. - VIRGINIA,30.11,31.90,33.94,35.10,41.67,42.24,42.71,43.03,43.50,46.39,44.84,47.84,50.79,52.42,55.30,58.71,60.27,60.34,64.47,65.78,67.45,68.67,73.69,76.56,79.80
U.S. - WASHINGTON,28.35,29.35,38.36,43.74,46.06,50.86,49.46,48.52,47.37,49.30,49.81,47.14,50.58,52.71,56.70,61.87,63.24,61.75,66.56,69.19,69.38,69.45,72.65,75.22,78.12
U.S. - WEST VIRGINIA,21.78,23.67,25.03,25.19,27.38,25.97,25.82,23.00,26.49,27.19,26.81,25.00,26.69,25.93,29.52,31.05,36.12,33.63,37.03,36.14,39.54,39.10,42.10,43.32,55.65
U.S. - WISCONSIN,33.74,30.32,33.63,38.57,42.62,44.06,42.49,38.11,41.87,49.52,47.70,47.50,49.91,51.13,54.87,55.64,57.53,55.03,60.94,60.27,63.17,63.55,67.22,68.15,74.59
U.S. - WYOMING,19.63,20.52,24.56,26.06,25.78,23.56,25.57,25.14,21.78,20.44,25.37,26.76,27.91,29.94,32.35,40.18,41.96,40.91,49.30,47.70,55.32,55.09,61.19,67.75,69.75
UKRAINE,5.03,4.37,6.41,7.56,8.33,5.81,5.66,7.04,8.52,12.10,11.71,16.55,20.64,24.81,31.35,38.59,42.70,41.34,44.36,44.97,45.65,46.72,52.58,58.18,61.88
UNITED ARAB EMIRATES,0.22,0.56,5.02,2.00,5.71,4.89,8.28,13.74,11.77,10.46,4.12,6.05,15.17,33.27,36.20,29.45,59.06,45.24,44.12,51.33,55.84,57.13,59.00,41.14,42.98
UNITED KINGDOM,13.15,11.87,10.55,12.46,15.19,15.86,20.57,18.55,20.68,29.40,28.60,30.75,29.64,36.65,42.88,49.32,49.16,50.96,58.05,56.14,61.75,64.44,69.80,74.91,77.38
UNITED STATES,32.09,33.64,35.85,38.76,42.48,42.85,42.32,40.55,40.76,43.32,43.85,42.93,45.89,47.34,49.80,52.64,55.09,54.63,60.48,62.31,64.82,65.76,69.47,71.80,74.64
URUGUAY,0.01,0.01,0.00,0.01,0.01,0.01,0.25,0.99,0.01,0.04,0.01,0.01,0.02,0.03,0.03,0.03,0.04,0.06,0.18,0.23,0.66,0.68,1.00,1.48,4.45
VENEZUELA,0.12,0.05,0.04,0.03,0.10,0.11,0.22,0.38,0.06,0.11,0.12,0.06,0.26,0.35,0.24,0.19,0.45,0.40,0.59,0.80,0.90,0.98,1.22,1.61,1.45
VIETNAM,0.69,1.01,1.13,1.46,2.12,1.66,1.55,4.15,6.09,3.66,5.77,4.16,2.25,2.99,2.80,5.64,4.23,3.09,3.69,2.98,1.17,1.85,1.45,2.41,4.06